precipitacao_anual,temp_media,fertilizante_kg_ha,horas_sol_dia,ph_solo,altitude_metros,umidade_relativa,toneladas_por_hectare
829.02,18.4,239.83,10.1,6.3,1135,44.1,8.9
1119.52,29.3,206.43,5.0,7.3,218,79.1,9.79
1964.95,30.6,119.07,5.2,6.7,739,74.9,10.9
633.35,31.3,227.24,6.9,5.2,642,42.1,5.52
1218.93,25.3,426.7,5.1,5.3,1158,54.4,14.76
1981.33,20.2,154.5,11.8,7.1,205,84.6,15.77
797.21,26.5,446.79,8.5,5.6,369,83.0,13.01
1867.57,29.0,253.19,8.6,6.4,648,70.3,13.61
1337.38,34.2,481.4,6.4,6.7,1125,53.5,13.62
1674.84,31.1,397.43,10.1,4.7,1057,76.4,15.32
953.71,26.1,375.39,8.4,5.7,251,80.2,11.1
1095.95,32.2,271.99,8.3,6.6,702,58.1,9.98
943.95,29.0,396.23,7.0,7.4,792,52.2,11.72
1841.13,18.3,117.39,11.0,4.9,1281,68.0,12.67
572.26,23.7,415.42,7.9,4.7,446,87.7,11.22
1167.6,22.3,487.97,5.9,7.5,1254,66.5,16.37
1342.84,24.9,295.16,6.2,6.9,547,56.3,12.46
1045.57,25.1,328.22,6.6,6.8,1075,73.1,8.64
1541.74,19.8,421.7,5.8,4.5,1085,82.6,15.18
1885.05,23.7,213.42,6.9,7.1,418,45.5,14.68
545.89,24.3,379.07,7.9,7.4,568,83.2,9.46
682.11,22.6,428.9,7.3,5.3,695,52.7,12.98
847.86,31.4,209.34,5.1,6.6,1118,84.4,7.12
1464.35,21.1,364.73,10.1,6.8,248,59.8,16.24
853.9,28.5,409.41,5.7,5.2,834,83.6,10.68
1950.3,34.1,176.0,7.0,7.1,291,76.0,11.38
723.75,27.0,435.54,8.5,7.4,520,61.6,9.53
570.34,33.0,432.98,8.7,5.1,1015,64.4,11.9
1205.68,33.6,181.76,10.8,6.8,274,73.3,10.7
1523.87,19.5,292.5,7.7,6.7,887,43.5,12.76
1819.07,20.2,408.74,5.1,7.5,500,58.8,15.83
1524.38,28.2,278.47,10.9,4.7,1235,79.4,14.38
1280.43,25.9,430.57,7.8,5.6,1441,62.9,16.91
1200.51,19.0,233.79,6.6,6.5,692,41.1,13.31
886.1,19.1,438.1,9.6,6.6,1383,47.8,12.7
1262.04,21.6,239.29,9.4,4.8,1286,48.7,13.47
1361.7,30.1,256.86,11.2,7.0,868,69.8,11.88
1235.21,25.7,382.49,8.2,6.9,1330,66.9,14.19
810.77,31.7,229.1,8.9,5.3,268,62.9,7.9
1176.33,31.0,323.89,6.2,5.3,1079,44.2,9.7
1909.89,34.2,144.28,5.1,7.4,286,46.7,9.64
967.63,24.0,164.25,9.3,4.9,1264,44.0,10.17
534.5,24.9,416.48,10.7,6.5,347,49.3,12.16
873.64,30.3,487.83,11.9,6.0,606,56.1,12.8
816.48,24.0,295.75,10.7,5.4,1309,61.4,11.35
803.94,28.7,152.25,7.9,5.7,684,58.0,8.07
1506.5,34.2,308.1,10.0,7.5,1188,84.7,13.11
1613.37,19.0,480.66,8.7,5.7,231,80.3,20.06
1781.83,23.8,463.4,6.3,5.7,1357,44.0,17.82
626.52,34.7,372.82,7.0,6.1,772,75.1,8.6
754.94,31.6,477.78,10.1,6.1,570,84.5,13.66
1963.87,29.5,332.11,5.8,5.7,856,55.1,15.03
503.6,30.1,100.48,9.2,6.5,1215,54.8,3.58
