quantidade,comissao
1,728.0
2,762.0
3,802.0
4,848.0
5,900.0
6,958.0
7,1022.0
8,1092.0
9,1168.0
10,1250.0
11,1338.0
12,1432.0
13,1532.0
14,1638.0
15,1750.0
16,1868.0
17,1992.0
18,2122.0
19,2258.0
20,2400.0
21,2548.0
22,2702.0
23,2862.0
24,3028.0
25,3200.0
26,3378.0
27,3562.0
28,3752.0
29,3948.0
30,4150.0
31,4358.0
32,4572.0
33,4792.0
34,5018.0
35,5250.0
36,5488.0
37,5732.0
38,5982.0
39,6238.0
40,6500.0
41,6768.0
42,7042.0
43,7322.0
44,7608.0
45,7900.0
46,8198.0
47,8502.0
48,8812.0
49,9128.0
50,9450.0
