Indice_S&P500,ETF_Preco,Dia_da_Semana,Tendencia_Mercado
3973.7535179041797,397.81337738312413,Tuesday,Bull
3978.893723954092,398.96748239208324,Thursday,Sideways
3996.1892609925467,400.26327737740246,Wednesday,Bull
3992.4027204447257,399.16900444645967,Monday,Bull
4007.1225322489945,401.5452055762954,Monday,Bear
4014.83581486991,400.79352433877443,Monday,Sideways
4018.153509908231,403.744320827568,Wednesday,Sideways
4002.1028599497067,401.7480729416869,Thursday,Bear
3999.260422487359,400.34145203058335,Tuesday,Sideways
4003.08544415146,399.86941033137515,Friday,Bull
3996.2150393689203,399.69143503977256,Friday,Bull
4002.742491690764,400.63051863926376,Tuesday,Bull
3993.988565935924,399.57866846530106,Wednesday,Sideways
4006.2412720112106,400.980501201716,Wednesday,Sideways
4016.3320840968554,402.16760125006147,Wednesday,Bear
4014.765916945996,401.22900471717804,Tuesday,Sideways
4006.7967112932174,400.74615226953995,Monday,Bear
4022.2427015702174,402.1828208945194,Monday,Sideways
4015.6706672296514,401.67417624669855,Thursday,Sideways
3998.8958935358196,400.2359373821479,Wednesday,Bear
4023.1806184459488,401.36396945302664,Monday,Bull
4046.3046960636498,404.68873626439427,Monday,Bull
4042.5265089754516,405.13023798038347,Tuesday,Bull
4029.889972901682,402.7912144727387,Wednesday,Bull
4032.6577532601414,402.79948359763324,Wednesday,Bear
4046.7139862767754,404.33461635027794,Tuesday,Sideways
4057.6789914342976,406.1251651674256,Friday,Bull
4078.1023333114777,406.9152313716097,Wednesday,Bear
4073.208762423443,407.43302766882175,Tuesday,Sideways
4074.0439026462645,405.7994125736375,Wednesday,Bear
4077.3798967745943,408.4997820932492,Friday,Bull
4055.731641846214,405.53835635504714,Tuesday,Bear
4044.3863572622977,405.1214308258261,Thursday,Bull
4056.633167427587,405.3839690749004,Friday,Bull
4067.8898388505995,406.92668062303056,Tuesday,Sideways
4061.0506349385796,407.30552264951865,Monday,Sideways
4078.8949689590168,407.38397933542393,Wednesday,Bull
4053.5357165632627,405.8248250959119,Tuesday,Bull
4033.189730830343,402.208217671184,Friday,Bear
4014.703213121619,400.17743751766216,Monday,Bear
4006.536625696532,400.99812325073225,Tuesday,Sideways
3996.5140496443305,399.67204225153444,Friday,Bull
3996.6237680927643,399.413513467048,Wednesday,Bull
3987.4296870605917,398.7380450623234,Friday,Sideways
4006.9259081819214,400.4337606563325,Monday,Bear
3980.929473827122,398.24403579531634,Wednesday,Bull
3966.1798223401775,397.00470273278984,Thursday,Bull
3971.542438637688,397.6483482880121,Thursday,Bull
3947.3387610953555,394.74267621299714,Tuesday,Bull
3969.3994690945374,397.34984998646365,Tuesday,Sideways
3951.5792051347717,395.5018003613746,Tuesday,Sideways
3943.3330122317393,394.5298803192985,Friday,Bear
3929.232319808568,392.66780038411287,Thursday,Bull
3916.8133343430795,390.305314602969,Tuesday,Bear
3918.446286360585,391.74859409493894,Tuesday,Bear
3926.0634302179697,392.48930857644746,Monday,Bear
3913.1300200203123,390.5122950312671,Wednesday,Bear
3931.872066161217,393.5827196909643,Wednesday,Bear
3930.677897472456,393.074223189338,Monday,Bear
3917.3319252534807,391.05893658313886,Monday,Bull
3904.1049494112353,390.84352452753444,Wednesday,Sideways
3904.3845336535564,390.83410085555573,Wednesday,Sideways
3907.9522029824107,391.38369655508643,Friday,Sideways
3908.1554312118396,390.23282725443215,Wednesday,Bear
3883.6224902211275,388.6313720708651,Wednesday,Bull
3867.9593420554875,386.37450392969424,Thursday,Bull
3877.154925280801,386.2780080881474,Tuesday,Sideways
3888.1980034806584,388.55554753000956,Tuesday,Sideways
3903.601825071655,390.19963801181046,Monday,Sideways
3882.1189659057713,389.3030345459944,Wednesday,Bull
3854.5011414029705,385.61446536833347,Thursday,Sideways
3859.99253979548,386.72325468998605,Tuesday,Bear
3855.015882769688,385.2829446556969,Tuesday,Bull
3844.6776130983417,384.92349855239934,Thursday,Sideways
3875.1967265209155,386.956258510263,Monday,Sideways
3866.936010342197,387.25096798053545,Wednesday,Sideways
3878.192810297099,387.20599731388404,Monday,Bear
3858.587925210887,386.53642880185515,Friday,Bear
3867.296525247801,386.6852236912382,Monday,Sideways
3850.7286788578667,384.72539332391807,Thursday,Sideways
3861.0805009112373,385.6008140707751,Friday,Sideways
3871.3838519033134,387.5739931971906,Friday,Sideways
3847.8835389596375,384.32861428212976,Tuesday,Bear
3861.458150781638,386.289630638877,Thursday,Bull
3873.1404867714837,387.04765249075706,Thursday,Bull
3879.563979830435,388.03921887607123,Friday,Bear
3881.1970596789038,388.12804215460204,Monday,Sideways
3881.62131420125,387.84641529434526,Wednesday,Sideways
3872.938926829385,386.7918847795991,Monday,Sideways
3854.947158841476,384.83866661838425,Tuesday,Sideways
3829.3578787554034,383.1592009989386,Tuesday,Sideways
