Pais,Mortalidade_Infantil,PIB_per_capita,Gasto_Saude_pct_PIB,Saneamento_pct,Agua_Potavel_pct
Afghanistan,60.7,510.787063366811,15.53361416,48.9056813120247,72.1820710205908
Albania,9.4,6027.91350716348,7.46513748,99.298792439378,95.0680381522002
Algeria,22.9,3743.5419522929,5.63830757,85.9654731245039,92.1378242692677
Andorra,2.9,37361.090067211,8.78462029,99.9999952180714,99.9999952180714
Angola,54.2,1749.1794838482,2.81688905,49.8016376564917,64.9440305436538
Antigua and Barbuda,10.1,15369.6082250401,5.68408012,99.6041813873018,98.9224941519798
Armenia,11.6,4268.68093304583,12.24056244,92.7619845664061,99.4561137881716
Australia,3.8,51983.4523666382,10.70324135,100.0,99.9698157102474
Austria,3.4,48716.4098900349,11.41292953,99.9726022326155,99.9999975918171
Azerbaijan,21.5,4229.91064904503,5.84817696,94.4852164889199,94.1597003364215
Bahrain,8.0,24342.8444554718,4.55685711,100.0,99.9198990209829
Bangladesh,31.4,2248.85078828233,2.18254924,59.7111659386902,98.2725719690138
Barbados,11.1,19180.9915228365,6.7272892,97.3312392700884,99.0199303950083
Belarus,2.9,6542.85579976768,6.40607214,99.5940049296976,99.2623480849323
Belgium,3.9,45906.2875805246,11.46253014,99.4862025266725,100.0
Belize,13.2,5238.54078175696,5.33901167,84.1193982319828,94.3918809907388
Benin,84.6,1200.19426557789,3.0512166,19.501704357901,68.3129505616936
Bhutan,21.3,3191.66906999331,4.08451509,80.5347803811223,99.0775205402574
Bolivia,19.3,3580.96761778303,8.0225811,65.4426819747995,91.6695086739786
Botswana,38.9,6323.2974967659,6.1213398,70.3974291175514,91.5461365187927
Brazil,14.9,7074.19378337644,9.62326527,89.5591441286736,99.0720677672897
Brunei Darussalam,10.4,26834.3592233943,2.45359564,97.0475546033103,100.0
Bulgaria,6.5,10760.7616180234,8.44060898,86.0351484540034,99.2544596990953
Burkina Faso,85.1,825.237038782475,6.89469957,27.7597483878875,50.3862637931321
Burundi,54.3,252.702452750006,10.70776176,44.4548070620661,64.4028716190814
Cabo Verde,13.3,3539.22661248299,7.03399324,80.9181460926349,88.5325658069206
Cambodia,21.8,2081.73914242939,5.13031435,70.4910427870757,78.6484857238686
Cameroon,74.4,1555.60370660749,4.25051928,45.2885112207418,69.29764588045
Canada,5.2,43537.8981198851,13.01732922,98.6730086081464,98.4952442433058
Central African Republic,124.2,462.879071294011,8.98488045,14.1186349646869,37.2024024961025
Chad,110.6,866.947814890409,4.35215092,12.5503209104072,51.195378612918
Chile,6.8,13117.9930230086,9.69734573,99.3144814902357,98.671391193466
China,7.5,10627.4637989619,5.50441837,92.8514975328901,93.9705270769772
Colombia,13.1,5339.68711357943,8.69751263,93.0987394041419,96.3025836876793
Comoros,43.7,1527.16991011916,5.902421,52.6066035113726,85.4750115485724
"Congo, Dem. Rep.",92.7,486.425572682256,3.97694445,16.1158651582213,35.5104494105668
"Congo, Rep.",44.5,1993.586671931,4.01775074,20.4597460251332,73.2936799973637
Costa Rica,9.3,12475.6852076814,7.82545757,98.0823538854413,99.8105394546059
Cote d'Ivoire,73.0,2179.72934832935,3.62327886,36.7505613601134,75.9870680852305
Croatia,4.7,14807.5559227544,7.68352938,95.7800263365526,99.9019753269295
Cuba,7.2,9605.27914559614,12.48641968,92.1835753798285,94.3125042863125
Cyprus,3.3,28130.330078125,8.64796448,99.4959339092573,99.7455373868703
Czechia,2.9,23472.8915454417,8.96995831,99.0728030542538,98.7321788477487
Denmark,3.7,60985.4885601514,10.69237614,99.5972310070963,100.0
Djibouti,55.7,2844.88810647853,2.33861232,66.7421157146302,78.7317549952208
Dominican Republic,33.8,7135.22273255899,4.96490288,88.0566185078015,96.8998955257888
Ecuador,13.6,5463.64515348598,8.60608387,88.1817507856303,91.4742997917839
"Egypt, Arab Rep.",24.4,3511.11381026379,4.15384626,96.21249765428,97.5705329201433
El Salvador,11.7,3997.19279583709,8.95105076,87.0096574927862,89.9923610939187
Estonia,2.4,23933.9939421065,7.47179365,99.0280228246995,99.9945255363523
Eswatini,50.5,3466.56936278145,7.0983777,62.0647533053702,75.5136191882992
Ethiopia,51.5,829.790982552951,3.48096275,9.01330021395482,49.6550451612317
Fiji,27.2,4620.6457238014,5.28987408,93.6215609537076,95.4183568880338
Finland,2.4,48828.6846862799,9.69977188,99.4479703400958,99.9999988873824
France,4.2,39169.8606000707,12.12949371,98.6476102264443,100.0
Gabon,36.8,6605.80346077904,3.4401269,52.8720170958258,87.7393004139279
"Gambia, The",48.6,720.335143352133,4.01436949,47.3645750957407,85.0680326919843
Georgia,9.4,4300.85701291207,9.22991848,88.1470373073336,96.7382823190877
Germany,3.7,47394.8734504469,12.46780777,99.2256156866511,99.9999988416059
Ghana,42.2,2195.45481659987,4.4331708,26.5532224510153,85.8052795210658
Greece,4.1,17886.733165236,9.38074493,98.9937448356397,99.9999990325072
Guatemala,23.5,4477.61785000665,6.4591527,68.8862996420965,92.3138179561227
Guinea,102.9,1053.66097696415,3.90094519,28.8045342946628,69.4483664321703
Guinea-Bissau,76.7,846.918134967613,8.98898792,27.2502045881432,61.4023709076856
Guyana,28.6,6775.70939096303,5.37510586,90.0231335168154,95.0516966520853
Haiti,59.8,1290.32538667383,3.78651953,28.6576196940519,70.4880763209359
Honduras,17.1,2307.61494319511,9.21912384,84.0337747326909,94.3301083793908
Hungary,4.0,16386.9308821258,7.230515,97.9837062795673,99.7437164369776
Iceland,2.8,60127.9393575616,9.64908886,98.7805419679259,99.9999964455788
India,33.0,1907.04251637669,3.34146094,72.0482326780192,93.0977309081783
Indonesia,20.8,3853.70288774146,3.42067289,82.2571090356155,89.0851606060889
"Iran, Islamic Rep.",13.0,3202.50003502169,4.96098137,90.2667726388145,97.3960598410528
Iraq,24.9,4295.18945121228,5.72766161,98.4932660483814,98.3599044196543
Ireland,3.5,86514.0706108754,6.97323275,89.7865313699403,97.0298506240387
Israel,3.5,44590.8237253282,7.74801874,99.9360127624406,99.9999976530211
Italy,3.0,32091.4866621366,9.5643034,99.8851578267552,99.9170340740928
Jamaica,18.7,5299.04530804283,7.47555304,89.5245308476169,88.8977273219084
Japan,2.4,41098.9739004553,11.44974613,99.9523862975872,99.0783962742638
Jordan,14.5,4411.48321838396,7.54554749,96.8379669917401,99.1712730302314
Kazakhstan,10.1,8781.50797787648,3.83133817,97.9463161907176,96.9217657494766
Kenya,42.1,1927.66459027849,4.49248886,38.018340896347,62.318211896262
Kiribati,58.3,1751.87199542272,13.65645027,44.2810965836604,76.6890512985404
"Korea, Rep.",3.1,33645.7719545073,8.02722836,99.7948537857931,99.7656731282421
Kuwait,8.8,25236.0755848941,6.11295223,100.0,100.0
Kyrgyz Republic,17.8,1229.51766602907,4.93558979,98.017628465842,92.5873159897583
Lao PDR,34.8,2583.77730696131,2.05965185,80.7027420895793,85.8856322944911
Latvia,3.6,17564.2321549354,7.50587368,91.7520645595703,98.63057400499
Lebanon,15.1,5561.19166950397,7.48221779,99.2,92.6
Lesotho,66.3,918.582574704447,10.40836906,42.7284382834052,75.7168396878056
Liberia,88.3,616.787867006715,12.90504265,21.0772995001903,76.193954779971
Libya,11.2,6650.33810585348,7.10674047,88.9267133718033,95.2627789492743
Lithuania,3.7,20428.6478157394,7.41619062,94.786284769893,98.8922199280899
Luxembourg,2.4,116860.02817236,5.7671175,97.6101288941599,100.0
Madagascar,65.1,450.771615205157,3.72316122,13.6947390405503,52.2020747813196
Malawi,50.4,602.507478176106,7.03859568,44.9611479828173,69.8639475231257
Malaysia,8.2,9957.52626697613,4.08254337,95.9966449391973,97.7301935332944
