Pais,Expectativa_Vida,PIB_per_capita,Gasto_Saude_pct_PIB,Acesso_Eletricidade_pct,CO2_per_capita
Afghanistan,61.454,510.787063366811,15.53361416,97.7,0.310824605884889
Albania,77.824,6027.91350716348,7.46513748,100.0,1.80646079858255
Algeria,73.257,3743.5419522929,5.63830757,99.7,3.90423106841135
Angola,63.116,1749.1794838482,2.81688905,47.0,0.613970253682297
Antigua and Barbuda,77.161,15369.6082250401,5.68408012,100.0,3.54941968076998
Argentina,75.878,8535.59938004389,10.67246342,100.0,3.72002854932287
Armenia,73.3756097560976,4268.68093304583,12.24056244,100.0,2.33479655579943
Australia,83.2,51983.4523666382,10.70324135,100.0,15.3043785143331
Austria,81.1926829268293,48716.4098900349,11.41292953,100.0,7.05586627765098
Azerbaijan,70.312,4229.91064904503,5.84817696,100.0,3.50800312410799
"Bahamas, The",72.994,26178.7537607708,7.3983264,100.0,2.96390417897101
Bahrain,78.683,24342.8444554718,4.55685711,100.0,25.0238418045325
Bangladesh,71.421,2248.85078828233,2.18254924,96.2,0.626122292349066
Barbados,76.647,19180.9915228365,6.7272892,100.0,2.38766338419158
Belarus,72.1385609756098,6542.85579976768,6.40607214,100.0,6.20046882969124
Belgium,80.6951219512195,45906.2875805246,11.46253014,100.0,7.96694296814415
Belize,71.58,5238.54078175696,5.33901167,96.8,0.815225735136076
Benin,60.154,1200.19426557789,3.0512166,41.0,0.666089321415813
Bhutan,72.253,3191.66906999331,4.08451509,100.0,1.83518050508697
Bolivia,62.906,3580.96761778303,8.0225811,97.2,1.57121108732946
Bosnia and Herzegovina,76.04,6130.31187968266,9.70311832,100.0,6.83055960433407
Botswana,67.643,6323.2974967659,6.1213398,71.8,2.57488289838852
Brazil,74.506,7074.19378337644,9.62326527,99.7,2.1466461829
Brunei Darussalam,75.114,26834.3592233943,2.45359564,100.0,22.6370349840413
Bulgaria,73.3560975609756,10760.7616180234,8.44060898,99.7,6.01693316252197
Burkina Faso,60.454,825.237038782475,6.89469957,18.5,0.265430526722067
Burundi,62.569,252.702452750006,10.70776176,9.1,0.0733769801401851
Cabo Verde,73.818,3539.22661248299,7.03399324,93.7,1.22076090145508
Cambodia,70.059,2081.73914242939,5.13031435,86.4,1.1140611022444
Cameroon,61.674,1555.60370660749,4.25051928,64.3,0.39632883817277
Canada,81.53,43537.8981198851,13.01732922,100.0,14.4219048812634
Central African Republic,50.596,462.879071294011,8.98488045,15.4,0.0633426623175616
Chad,53.082,866.947814890409,4.35215092,10.9,0.140107110268934
Chile,79.349,13117.9930230086,9.69734573,100.0,4.51770681212954
China,78.019,10627.4637989619,5.50441837,100.0,8.47858302033874
Colombia,74.757,5339.68711357943,8.69751263,99.7,1.66507219030647
Comoros,65.756,1527.16991011916,5.902421,85.6,0.334969326682981
"Congo, Dem. Rep.",60.428,486.425572682256,3.97694445,20.1,0.0482487769194453
"Congo, Rep.",64.391,1993.586671931,4.01775074,48.7,1.28685363330599
Costa Rica,79.725,12475.6852076814,7.82545757,99.9,1.42529676301864
Cote d'Ivoire,60.14,2179.72934832935,3.62327886,69.9,0.459550187168112
Croatia,77.5243902439024,14807.5559227544,7.68352938,100.0,4.39207849561316
Cuba,77.407,9605.27914559614,12.48641968,99.9,1.6536430395816
Cyprus,81.23,28130.330078125,8.64796448,100.0,5.22358661605671
Czechia,78.2268292682927,23472.8915454417,8.96995831,100.0,8.86715826663618
Denmark,81.6024390243903,60985.4885601514,10.69237614,100.0,4.76521606117498
Djibouti,64.2,2844.88810647853,2.33861232,64.5,0.674907798492202
Dominica,71.269,7827.74842680426,6.06806135,100.0,1.14098826454353
Dominican Republic,72.636,7135.22273255899,4.96490288,100.0,2.44597258432274
Ecuador,72.004,5463.64515348598,8.60608387,98.8,2.08585799722046
"Egypt, Arab Rep.",69.79,3511.11381026379,4.15384626,100.0,2.25205800434348
El Salvador,70.244,3997.19279583709,8.95105076,99.7,1.06717705964691
Equatorial Guinea,62.141,5764.05502912947,3.70560718,66.7,2.86058347723348
Estonia,78.5951219512195,23933.9939421065,7.47179365,100.0,9.12576098778358
Eswatini,59.862,3466.56936278145,7.0983777,80.0,0.805379931233331
Ethiopia,65.969,829.790982552951,3.48096275,51.1,0.151498089800296
Fiji,66.924,4620.6457238014,5.28987408,97.1,1.17414583977713
Finland,81.9317073170732,48828.6846862799,9.69977188,100.0,7.13874546232844
France,82.1756097560976,39169.8606000707,12.12949371,100.0,4.24677642127474
Gabon,67.073,6605.80346077904,3.4401269,91.1,2.3804551828839
"Gambia, The",64.418,720.335143352133,4.01436949,62.2,0.167744351248722
Georgia,73.509,4300.85701291207,9.22991848,100.0,3.1000484592432
Germany,81.0414634146342,47394.8734504469,12.46780777,100.0,7.72103264767393
Ghana,64.309,2195.45481659987,4.4331708,85.4,0.71957907173867
Greece,81.2878048780488,17886.733165236,9.38074493,100.0,4.89415483279633
Grenada,75.019,8968.55890108484,5.30602551,93.4,1.3202568312117
Guatemala,69.971,4477.61785000665,6.4591527,96.6,1.01505848395418
Guinea,59.35,1053.66097696415,3.90094519,44.7,0.403359971963588
Guinea-Bissau,61.343,846.918134967613,8.98898792,33.4,0.167042923027634
Guyana,67.751,6775.70939096303,5.37510586,92.3,4.12368835923074
Haiti,63.773,1290.32538667383,3.78651953,46.3,0.306345301003713
Honduras,70.864,2307.61494319511,9.21912384,93.1,0.91129723982276
Hungary,75.419512195122,16386.9308821258,7.230515,100.0,5.13443109342005
Iceland,83.0634146341463,60127.9393575616,9.64908886,100.0,8.38201946717677
India,70.156,1907.04251637669,3.34146094,96.5,1.68040016064392
Indonesia,68.817,3853.70288774146,3.42067289,97.0,2.16976580881181
"Iran, Islamic Rep.",74.141,3202.50003502169,4.96098137,100.0,8.38853190019001
Iraq,69.651,4295.18945121228,5.72766161,100.0,4.3658386045124
Ireland,82.4560975609756,86514.0706108754,6.97323275,100.0,6.80456776897729
Israel,82.6487804878049,44590.8237253282,7.74801874,100.0,6.66216318867945
Italy,82.1951219512195,32091.4866621366,9.5643034,100.0,4.96667406979317
Jamaica,71.452,5299.04530804283,7.47555304,99.7,2.09235114929352
Japan,84.56,41098.9739004553,11.44974613,100.0,8.39710520271501
Jordan,75.583,4411.48321838396,7.54554749,99.9,1.9279853124113
Kazakhstan,71.195,8781.50797787648,3.83133817,100.0,11.5744967551524
Kenya,61.596,1927.66459027849,4.49248886,71.5,0.367016056392308
Kiribati,65.205,1751.87199542272,13.65645027,91.0,0.584461415237234
"Korea, Rep.",83.4268292682927,33645.7719545073,8.02722836,100.0,11.9094442789339
Kuwait,78.7609756097561,25236.0755848941,6.11295223,100.0,21.1232409306072
Kyrgyz Republic,71.8,1229.51766602907,4.93558979,99.9,1.38383515228208
Lao PDR,68.339,2583.77730696131,2.05965185,99.3,2.645846687138
Latvia,75.1853658536585,17564.2321549354,7.50587368,100.0,3.82914774350693
Lebanon,76.299,5561.19166950397,7.48221779,100.0,3.82658313221911
